Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2000,6008112.812,639614.378,649.466,GS,GROUND SHOT,,,,
2001,6008113.664,639615.53,649.396,TOB,TOP OF BANK,,,,
2002,6008116.325,639618.128,647.917,BOB,BOTTOM OF BANK,,,,
2003,6008116.325,639618.128,647.917,TOB,TOP OF BANK,,,,
2004,6008116.933,639618.485,646.627,BED,BED,,,,
2005,6008117.388,639619.386,646.289,BED,BED,,,,
2006,6008118.24,639620.473,645.996,BED,BED,,,,
2007,6008119.17,639621.962,645.978,BED,BED,,,,
2008,6008119.637,639624.062,646.014,BED,BED,,,,
2009,6008120.219,639624.919,646.166,BED,BED,,,,
2010,6008120.557,639625.785,646.579,BED,BED,,,,
2011,6008121.282,639627.601,646.638,BED,BED,,,,
2012,6008122.516,639628.479,646.767,BED,BED,,,,
2013,6008123.489,639629.057,646.947,BED,BED,,,,
2014,6008124.168,639629.837,647.7,BANK,BANK,,,,
2015,6008124.545,639630.227,648.145,TOB,TOP OF BANK,,,,
2016,6008125.746,639632.142,648.424,BOB,BOTTOM OF BANK,,,,
2017,6008126.356,639635.218,650.042,TOB,TOP OF BANK,,,,
2018,6008127.516,639636.926,649.924,GS,GROUND SHOT,,,,
2019,6008115.802,639633.725,650.449,GS,GROUND SHOT,,,,
2020,6008115.131,639633.102,650.461,ABUTEMENT,ABUTEMENT,,,,
2021,6008108.899,639623.121,650.487,ABUTEMENT,ABUTEMENT,,,,
2022,6008108.397,639622.026,650.446,GS,GROUND SHOT,,,,
2023,6008100.228,639627.54,650.643,GS,GROUND SHOT,,,,
2024,6008100.772,639628.167,650.715,ABUTEMENT,ABUTEMENT,,,,
2025,6008106.975,639638.139,650.648,ABUTEMENT,ABUTEMENT,,,,
2026,6008107.42,639639.009,650.642,GS,GROUND SHOT,,,,
2027,6008115.277,639632.923,648.446,TOB,TOP OF BANK,,,,
2028,6008114.489,639631.722,647.078,BOB,BOTTOM OF BANK,,,,
2029,6008114.321,639631.188,646.894,BED,BED,,,,
2030,6008113.456,639630.049,646.635,BED,BED,,,,
2031,6008112.627,639629.037,646.557,BED,BED,,,,
2032,6008112.383,639627.622,646.408,BED,BED,,,,
2033,6008111.396,639626.493,646.488,BED,BED,,,,
2034,6008111.067,639625.193,646.861,BED,BED,,,,
2035,6008110.442,639624.96,647.091,BOB,BOTTOM OF BANK,,,,
2036,6008109.006,639623.164,648.432,TOB,TOP OF BANK,,,,
2037,6008100.795,639628.171,648.255,TOB,TOP OF BANK,,,,
2038,6008101.891,639629.594,647.105,BOB,BOTTOM OF BANK,,,,
2039,6008102.222,639630.539,646.843,BED,BED,,,,
2040,6008101.828,639630.157,647.046,WL,WATERLEVEL,,,,
2041,6008102.445,639630.836,646.849,BED,BED,,,,
2042,6008103.361,639633.085,646.528,BED,BED,,,,
2043,6008104.064,639633.957,646.49,BED,BED,,,,
2044,6008104.423,639635.016,646.602,BED,BED,,,,
2045,6008104.913,639635.829,646.78,BED,BED,,,,
2046,6008105.23,639636.257,646.995,BOB,BOTTOM OF BANK,,,,
2047,6008106.027,639637.178,647.549,BANK,BANK,,,,
2048,6008106.929,639638.129,648.244,TOB,TOP OF BANK,,,,
2049,6008088.658,639631.248,650.278,GS,GROUND SHOT,,,,
2050,6008090.069,639632.619,650.011,TOB,TOP OF BANK,,,,
2051,6008092.137,639634.947,647.127,BOB,BOTTOM OF BANK,,,,
2052,6008092.28,639635.071,647.016,WL,WATERLEVEL,,,,
2053,6008092.616,639635.837,646.326,BED,BED,,,,
2054,6008093.617,639636.749,646.01,BED,BED,,,,
2055,6008094.115,639637.761,646.215,BED,BED,,,,
2056,6008094.786,639639.461,646.364,BED,BED,,,,
2057,6008095.019,639639.894,646.423,BED,BED,,,,
2058,6008094.774,639641.948,646.861,BED,BED,,,,
